login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
DIYgod,DIYgod/docsearch-configs,2019-07-25T03:13:27Z,5,5,,True,True,mit
DIYgod,DIYgod/download-webhook,2019-05-31T10:48:10Z,207,207,JavaScript,True,True,
DIYgod,DIYgod/DPlayer,2016-05-03T14:11:22Z,15508,15508,JavaScript,True,True,mit
DIYgod,DIYgod/EasyGoAgent,2015-01-22T14:51:14Z,172,172,Python,True,True,
DIYgod,DIYgod/EGUpdate,2015-01-28T21:10:18Z,1,1,Java,True,True,
DIYgod,DIYgod/Gethosts,2015-02-08T07:57:04Z,2,2,JavaScript,True,True,
DIYgod,DIYgod/GetMACAddress,2014-11-23T14:23:07Z,5,5,Java,True,True,
DIYgod,DIYgod/GitHub-Show,2015-11-24T12:29:21Z,2,2,CSS,True,True,
DIYgod,DIYgod/GoodNight,2018-04-24T16:35:19Z,159,159,JavaScript,True,True,
DIYgod,DIYgod/GravityBall,2015-09-26T17:16:14Z,3,3,JavaScript,True,True,
DIYgod,DIYgod/gugu-node-api,2017-07-04T18:37:55Z,35,35,JavaScript,True,True,
DIYgod,DIYgod/hexo-tag-aplayer,2017-11-29T11:13:24Z,2,2,JavaScript,True,True,mit
DIYgod,DIYgod/hexo-tag-dplayer,2017-11-29T09:29:26Z,1,1,JavaScript,True,True,mit
DIYgod,DIYgod/hexo-theme-sagiri,2017-11-03T10:55:40Z,496,496,HTML,True,True,mit
DIYgod,DIYgod/HHFE.github.io,2015-07-18T16:04:12Z,1,1,CSS,True,True,
DIYgod,DIYgod/iBeats,2022-06-29T12:19:09Z,3,3,Python,True,True,mit
DIYgod,DIYgod/jCarrousel,2015-08-06T13:41:37Z,40,40,JavaScript,True,True,
DIYgod,DIYgod/jRating,2015-11-06T09:07:07Z,5,5,JavaScript,True,True,
DIYgod,DIYgod/Juejin2RSS,2016-11-25T04:14:06Z,34,34,JavaScript,True,True,
DIYgod,DIYgod/LANChat,2014-11-23T14:34:12Z,23,23,Java,True,True,
DIYgod,DIYgod/Learn-design,2016-01-17T14:37:56Z,3,3,,True,True,
